definition,instances,accuracy,task in allenai dataset,id
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: Ladd has won a Golden Globe and a BAFTA and has been nominated three times for the Academy Award for Best Supporting Actress . \n Verb: won,0.44,task1519_qa_srl_question_generation.json,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: Ladd has won a Golden Globe and a BAFTA and has been nominated three times for the Academy Award for Best Supporting Actress . \n Verb: nominated,0.51,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: Ladd has won a Golden Globe and a BAFTA and has been nominated three times for the Academy Award for Best Supporting Actress . \n Verb: supporting,0.81,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: In England , at the time of the Domesday Survey , this would have comprised between about 1 and 5 acres . \n Verb: comprised",0.32,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: As ionospheric conditions and mobile-node locations change , these quality tuples will shift . \n Verb: change",0.81,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: As ionospheric conditions and mobile-node locations change , these quality tuples will shift . \n Verb: shift",0.34,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: The economy of the early village was based on fishing and ship building . \n Verb: based,0.49,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: The Venezuelan government declined to appeal the case any further , and in November 1987 Bosch was freed . \n Verb: declined",0.52,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: The Venezuelan government declined to appeal the case any further , and in November 1987 Bosch was freed . \n Verb: appeal",0.48,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: The Venezuelan government declined to appeal the case any further , and in November 1987 Bosch was freed . \n Verb: freed",0.72,,ID6
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage:  Sandra travelled to the office. Sandra went to the bathroom.,0.86,task082_babi_t1_single_supporting_fact_question_generation.json,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage:  Sandra travelled to the office. Sandra went to the bathroom. Mary went to the bedroom. Daniel moved to the hallway.,0.49,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage:  Mary went to the bedroom. John journeyed to the bathroom.,0.52,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Mary went to the bedroom. John journeyed to the bathroom. Sandra journeyed to the hallway. John journeyed to the garden.,0.58,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom.,0.91,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Sandra moved to the garden. Sandra went back to the kitchen.,0.87,,ID7
